Date,SKU_ID,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point
2025-12-31,SKU001,801,348,9,183,366
2025-12-31,SKU002,387,188,13,158,316
2025-12-31,SKU003,247,121,7,72,145
2025-12-31,SKU004,360,74,5,73,146
2025-12-31,SKU005,560,372,13,236,473
2025-12-31,SKU006,405,149,6,137,275
2025-12-31,SKU007,674,293,7,165,331
2025-12-31,SKU008,107,32,4,43,87
2025-12-31,SKU009,551,21,14,119,238
2025-12-31,SKU010,1490,560,14,317,634
2025-12-31,SKU011,1699,510,13,308,617
2025-12-31,SKU012,856,187,12,190,381
2025-12-31,SKU013,210,54,5,51,103
2025-12-31,SKU014,159,2,6,48,96
2025-12-31,SKU015,287,20,7,76,153
2025-12-31,SKU016,406,17,11,120,240
2025-12-31,SKU017,580,13,6,132,265
2025-12-31,SKU018,66,25,4,29,58
2025-12-31,SKU019,657,91,7,159,318
2025-12-31,SKU020,1178,34,14,335,670
2025-12-31,SKU021,180,103,3,65,131
2025-12-31,SKU022,88,5,6,43,87
2025-12-31,SKU023,326,3,8,110,221
2025-12-31,SKU024,731,190,8,127,255
2025-12-31,SKU025,369,43,4,76,152
2025-12-31,SKU026,333,13,4,66,132
2025-12-31,SKU027,312,86,10,53,107
2025-12-31,SKU028,1113,295,14,206,412
2025-12-31,SKU029,662,52,7,162,325
2025-12-31,SKU030,410,187,10,97,194
2025-12-31,SKU031,1110,40,14,309,618
2025-12-31,SKU032,157,8,3,34,69
2025-12-31,SKU033,214,7,10,43,86
2025-12-31,SKU034,427,138,10,182,365
2025-12-31,SKU035,196,7,5,58,116
2025-12-31,SKU036,260,32,5,49,98
2025-12-31,SKU037,476,40,13,108,216
2025-12-31,SKU038,532,200,14,199,398
2025-12-31,SKU039,386,47,10,177,354
2025-12-31,SKU040,78,23,9,28,56
2025-12-31,SKU041,269,103,7,85,171
2025-12-31,SKU042,336,34,8,59,118
2025-12-31,SKU043,156,36,3,29,58
2025-12-31,SKU044,103,4,5,51,103
2025-12-31,SKU045,900,254,12,199,398
2025-12-31,SKU046,789,206,9,198,397
2025-12-31,SKU047,921,178,12,184,368
2025-12-31,SKU048,162,95,9,55,111
2025-12-31,SKU049,432,150,6,105,211
2025-12-31,SKU050,433,28,9,131,263
2025-12-31,SKU051,156,70,6,72,144
2025-12-31,SKU052,496,85,13,127,254
2025-12-31,SKU053,151,41,14,43,86
2025-12-31,SKU054,201,27,11,34,68
2025-12-31,SKU055,769,224,14,290,580
2025-12-31,SKU056,66,12,3,20,40
2025-12-31,SKU057,108,102,11,53,106
2025-12-31,SKU058,129,26,8,29,58
2025-12-31,SKU059,655,164,11,169,338
2025-12-31,SKU060,149,43,3,49,99
2025-12-31,SKU061,1252,373,10,213,426
2025-12-31,SKU062,477,179,10,122,245
2025-12-31,SKU063,163,57,3,51,102
2025-12-31,SKU064,502,38,6,117,235
2025-12-31,SKU065,208,55,4,39,78
2025-12-31,SKU066,73,1,3,12,25
2025-12-31,SKU067,404,53,4,92,185
2025-12-31,SKU068,588,125,9,182,364
2025-12-31,SKU069,135,43,4,41,83
2025-12-31,SKU070,140,54,12,36,73
2025-12-31,SKU071,648,400,13,263,526
2025-12-31,SKU072,485,68,8,103,206
2025-12-31,SKU073,235,96,6,69,138
2025-12-31,SKU074,496,186,11,186,373
2025-12-31,SKU075,745,258,8,141,282
2025-12-31,SKU076,108,35,6,25,50
2025-12-31,SKU077,541,194,5,98,196
2025-12-31,SKU078,61,31,5,21,42
2025-12-31,SKU079,471,160,9,82,164
2025-12-31,SKU080,604,128,10,133,267
2025-12-31,SKU081,230,30,13,40,80
2025-12-31,SKU082,922,262,12,156,312
2025-12-31,SKU083,517,345,14,187,374
2025-12-31,SKU084,1040,368,11,234,469
2025-12-31,SKU085,390,36,4,68,137
2025-12-31,SKU086,167,98,13,79,159
2025-12-31,SKU087,170,79,5,61,123
2025-12-31,SKU088,328,53,5,88,177
2025-12-31,SKU089,390,151,10,115,230
2025-12-31,SKU090,108,35,6,18,37
2025-12-31,SKU091,391,253,8,144,288
2025-12-31,SKU092,332,216,5,110,221
2025-12-31,SKU093,235,17,5,41,83
2025-12-31,SKU094,145,34,4,46,92
2025-12-31,SKU095,681,397,11,260,521
2025-12-31,SKU096,483,147,7,90,180
2025-12-31,SKU097,305,144,10,85,171
2025-12-31,SKU098,318,114,3,71,143
2025-12-31,SKU099,225,21,8,53,107
2025-12-31,SKU100,407,108,8,89,178
2025-12-31,SKU101,459,26,5,98,196
2025-12-31,SKU102,404,20,13,89,179
2025-12-31,SKU103,89,46,3,31,62
2025-12-31,SKU104,127,47,3,29,59
2025-12-31,SKU105,144,34,5,70,141
2025-12-31,SKU106,85,43,3,34,69
2025-12-31,SKU107,632,45,14,237,475
2025-12-31,SKU108,849,98,7,166,332
2025-12-31,SKU109,1255,36,14,255,511
2025-12-31,SKU110,567,45,10,109,219
2025-12-31,SKU111,264,98,7,85,170
2025-12-31,SKU112,344,115,14,60,120
2025-12-31,SKU113,314,66,7,77,154
2025-12-31,SKU114,97,53,4,36,73
2025-12-31,SKU115,484,103,12,81,162
2025-12-31,SKU116,175,31,10,31,62
2025-12-31,SKU117,266,65,8,58,116
2025-12-31,SKU118,622,217,13,118,237
2025-12-31,SKU119,65,8,3,16,33
2025-12-31,SKU120,117,41,13,39,79
2025-12-31,SKU121,156,98,9,65,131
2025-12-31,SKU122,244,23,4,46,92
2025-12-31,SKU123,983,390,14,239,478
2025-12-31,SKU124,300,172,11,132,265
2025-12-31,SKU125,591,263,6,135,271
2025-12-31,SKU126,231,86,14,58,117
2025-12-31,SKU127,848,321,14,247,495
2025-12-31,SKU128,313,85,9,61,123
2025-12-31,SKU129,231,57,5,39,79
2025-12-31,SKU130,558,57,8,122,245
2025-12-31,SKU131,618,179,8,157,314
2025-12-31,SKU132,501,14,12,88,176
2025-12-31,SKU133,730,100,8,143,287
2025-12-31,SKU134,43,4,3,18,36
2025-12-31,SKU135,80,46,9,37,75
2025-12-31,SKU136,144,39,5,45,90
2025-12-31,SKU137,268,12,6,62,125
2025-12-31,SKU138,270,105,4,73,147
2025-12-31,SKU139,259,62,5,57,115
2025-12-31,SKU140,249,57,5,79,158
2025-12-31,SKU141,563,217,9,109,218
2025-12-31,SKU142,531,22,7,107,214
2025-12-31,SKU143,336,121,11,139,279
2025-12-31,SKU144,55,21,3,11,22
2025-12-31,SKU145,916,236,11,214,429
2025-12-31,SKU146,584,188,7,156,313
2025-12-31,SKU147,711,68,9,132,265
2025-12-31,SKU148,578,75,8,166,332
2025-12-31,SKU149,758,85,12,162,324
2025-12-31,SKU150,539,205,11,127,255
2025-12-31,SKU151,342,46,14,137,274
2025-12-31,SKU152,221,109,3,64,128
2025-12-31,SKU153,216,47,6,36,73
2025-12-31,SKU154,839,99,7,144,289
2025-12-31,SKU155,342,100,3,60,121
2025-12-31,SKU156,1168,9,9,203,407
2025-12-31,SKU157,196,99,8,64,128
2025-12-31,SKU158,220,18,4,41,83
2025-12-31,SKU159,301,0,12,103,206
2025-12-31,SKU160,716,3,10,196,392
2025-12-31,SKU161,406,1,10,80,160
2025-12-31,SKU162,146,31,3,27,55
2025-12-31,SKU163,995,177,13,166,332
2025-12-31,SKU164,209,32,5,43,86
2025-12-31,SKU165,79,10,3,14,29
2025-12-31,SKU166,114,66,7,51,103
2025-12-31,SKU167,69,9,3,18,37
2025-12-31,SKU168,841,396,13,278,557
2025-12-31,SKU169,1102,301,14,248,496
2025-12-31,SKU170,68,22,4,17,34
2025-12-31,SKU171,177,7,3,44,88
2025-12-31,SKU172,1525,417,12,278,556
2025-12-31,SKU173,233,57,5,64,129
2025-12-31,SKU174,242,74,7,64,129
2025-12-31,SKU175,724,216,10,152,305
2025-12-31,SKU176,427,163,7,89,179
2025-12-31,SKU177,202,72,12,51,102
2025-12-31,SKU178,653,226,10,231,462
2025-12-31,SKU179,196,35,3,49,98
2025-12-31,SKU180,168,23,4,36,73
2025-12-31,SKU181,510,223,9,160,321
2025-12-31,SKU182,638,182,7,135,270
2025-12-31,SKU183,446,98,9,115,230
2025-12-31,SKU184,1307,272,11,255,510
2025-12-31,SKU185,44,15,3,12,25
2025-12-31,SKU186,348,18,11,81,162
2025-12-31,SKU187,215,11,3,58,116
2025-12-31,SKU188,372,264,11,148,297
2025-12-31,SKU189,1200,205,9,202,405
2025-12-31,SKU190,541,110,6,101,203
2025-12-31,SKU191,179,98,7,55,111
2025-12-31,SKU192,210,179,14,93,186
2025-12-31,SKU193,227,150,13,87,175
2025-12-31,SKU194,545,108,11,253,507
2025-12-31,SKU195,152,57,7,55,111
2025-12-31,SKU196,352,121,9,65,130
2025-12-31,SKU197,358,74,7,98,196
2025-12-31,SKU198,385,75,4,73,147
2025-12-31,SKU199,548,441,11,237,475
2025-12-31,SKU200,1509,252,14,298,597
