SKU_ID,Category,Subcategory,Launch_Date,Unit_Cost,List_Price
SKU001,Furniture,Chair,2023-09-28,3474,7766.15
SKU002,Furniture,Chair,2023-01-21,1430,3165.45
SKU003,Furniture,Chair,2023-08-03,1938,3448.83
SKU004,Furniture,Chair,2024-01-08,630,1132.12
SKU005,Furniture,Chair,2023-05-11,3471,4809.86
SKU006,Furniture,Chair,2023-12-10,1985,2527.57
SKU007,Furniture,Chair,2024-01-21,1815,4392.52
SKU008,Furniture,Chair,2023-06-10,1515,3772.16
SKU009,Furniture,Chair,2023-09-10,759,1514.32
SKU010,Furniture,Chair,2024-04-19,1047,1287.79
SKU011,Furniture,Table,2024-04-20,1382,2376.79
SKU012,Furniture,Table,2023-07-09,3047,5107.6
SKU013,Furniture,Table,2024-07-16,3305,7339.51
SKU014,Furniture,Table,2024-05-19,2199,4108.84
SKU015,Furniture,Table,2024-10-08,3502,8117.36
SKU016,Furniture,Table,2023-10-01,2368,4228.42
SKU017,Furniture,Table,2023-01-14,2735,6632.0
SKU018,Furniture,Table,2023-12-12,541,920.26
SKU019,Furniture,Table,2023-04-02,2912,4368.47
SKU020,Furniture,Table,2024-03-03,1690,3529.13
SKU021,Furniture,Sofa,2023-02-04,2856,6520.69
SKU022,Furniture,Sofa,2024-07-15,2553,4361.49
SKU023,Furniture,Sofa,2024-01-25,3759,6034.04
SKU024,Furniture,Sofa,2024-04-21,2913,5565.94
SKU025,Furniture,Sofa,2024-07-09,1002,2299.56
SKU026,Furniture,Sofa,2023-09-27,461,790.01
SKU027,Furniture,Sofa,2024-04-06,1115,1811.32
SKU028,Furniture,Sofa,2023-10-23,1575,1982.6
SKU029,Furniture,Sofa,2023-02-22,3067,6660.04
SKU030,Furniture,Sofa,2023-07-07,1091,1815.18
SKU031,Furniture,Bed,2023-06-06,679,1058.42
SKU032,Furniture,Bed,2024-06-04,2362,3341.87
SKU033,Furniture,Bed,2024-10-09,1667,2856.15
SKU034,Furniture,Bed,2024-05-13,1795,2186.86
SKU035,Furniture,Bed,2024-02-23,2940,6246.75
SKU036,Furniture,Bed,2024-05-04,2636,5239.7
SKU037,Furniture,Bed,2023-01-28,2578,5275.62
SKU038,Furniture,Bed,2023-02-02,2482,5721.13
SKU039,Furniture,Bed,2024-07-27,3419,5750.98
SKU040,Furniture,Bed,2024-11-14,2051,4236.75
SKU041,Furniture,Desk,2024-06-30,2195,3417.92
SKU042,Furniture,Desk,2024-04-06,1260,2139.23
SKU043,Furniture,Desk,2023-08-06,2990,6545.17
SKU044,Furniture,Desk,2024-01-28,802,1766.21
SKU045,Furniture,Desk,2024-07-07,506,888.44
SKU046,Furniture,Desk,2024-07-28,3239,4341.1
SKU047,Furniture,Desk,2024-07-17,1163,2357.79
SKU048,Furniture,Desk,2024-04-29,1320,2456.71
SKU049,Furniture,Desk,2024-10-16,3778,7502.14
SKU050,Furniture,Desk,2024-06-08,3542,5185.42
SKU051,Kitchen,Mixer,2023-08-31,1483,2934.15
SKU052,Kitchen,Mixer,2024-11-12,3457,8105.31
SKU053,Kitchen,Mixer,2024-10-07,2904,4600.88
SKU054,Kitchen,Mixer,2024-07-09,1095,2458.03
SKU055,Kitchen,Mixer,2023-11-27,1663,3925.22
SKU056,Kitchen,Mixer,2023-12-14,1963,4416.11
SKU057,Kitchen,Mixer,2023-08-13,1796,2897.67
SKU058,Kitchen,Mixer,2024-09-24,1708,2555.71
SKU059,Kitchen,Mixer,2023-09-16,2975,4933.56
SKU060,Kitchen,Mixer,2024-02-15,3730,5274.42
SKU061,Kitchen,Bottle,2023-08-13,948,1735.1
SKU062,Kitchen,Bottle,2024-01-09,1557,2551.77
SKU063,Kitchen,Bottle,2024-11-22,1931,3718.2
SKU064,Kitchen,Bottle,2024-03-17,1436,1844.34
SKU065,Kitchen,Bottle,2024-01-21,863,1312.57
SKU066,Kitchen,Bottle,2024-09-16,3758,5979.51
SKU067,Kitchen,Bottle,2023-04-23,3299,4117.0
SKU068,Kitchen,Bottle,2024-07-19,301,557.9
SKU069,Kitchen,Bottle,2023-08-13,1154,1802.83
SKU070,Kitchen,Bottle,2023-05-10,2732,4129.23
SKU071,Kitchen,Cookware,2024-11-02,1376,2526.73
SKU072,Kitchen,Cookware,2024-03-14,2033,3079.33
SKU073,Kitchen,Cookware,2024-02-05,502,843.64
SKU074,Kitchen,Cookware,2024-09-01,1066,2392.19
SKU075,Kitchen,Cookware,2024-05-25,497,854.08
SKU076,Kitchen,Cookware,2023-07-20,3099,6935.09
SKU077,Kitchen,Cookware,2024-04-08,1447,2692.37
SKU078,Kitchen,Cookware,2024-02-07,3720,8615.02
SKU079,Kitchen,Cookware,2023-05-27,1669,3113.89
SKU080,Kitchen,Cookware,2024-05-03,3519,7174.27
SKU081,Kitchen,Pan,2024-07-04,3276,5624.38
SKU082,Kitchen,Pan,2024-04-17,2685,6146.03
SKU083,Kitchen,Pan,2023-10-25,2269,5450.37
SKU084,Kitchen,Pan,2023-05-24,1934,2895.42
SKU085,Kitchen,Pan,2024-07-25,2693,6670.07
SKU086,Kitchen,Pan,2023-10-31,1180,1787.0
SKU087,Kitchen,Pan,2023-02-06,2601,6154.96
SKU088,Kitchen,Pan,2023-01-09,1483,3000.16
SKU089,Kitchen,Pan,2023-07-27,3604,5960.92
SKU090,Kitchen,Pan,2023-02-23,1454,3363.42
SKU091,Kitchen,Storage,2024-09-19,3491,8218.17
SKU092,Kitchen,Storage,2024-02-24,886,2140.86
SKU093,Kitchen,Storage,2023-09-11,1745,3611.6
SKU094,Kitchen,Storage,2024-04-17,3598,6058.92
SKU095,Kitchen,Storage,2023-12-04,398,981.37
SKU096,Kitchen,Storage,2024-11-11,3169,5650.17
SKU097,Kitchen,Storage,2024-02-02,460,562.81
SKU098,Kitchen,Storage,2024-05-18,1600,2291.95
SKU099,Kitchen,Storage,2023-07-14,2219,4809.51
SKU100,Kitchen,Storage,2024-11-18,700,1120.34
SKU101,Decor,Lamp,2024-04-14,759,1412.85
SKU102,Decor,Lamp,2024-10-31,3746,5714.9
SKU103,Decor,Lamp,2024-07-16,2385,5897.06
SKU104,Decor,Lamp,2023-01-27,2785,6622.53
SKU105,Decor,Lamp,2024-08-31,525,868.93
SKU106,Decor,Lamp,2024-04-25,2631,5445.12
SKU107,Decor,Lamp,2024-10-20,752,1127.43
SKU108,Decor,Lamp,2023-02-18,3887,4787.27
SKU109,Decor,Lamp,2023-08-08,3883,5553.64
SKU110,Decor,Lamp,2024-01-08,2505,6112.47
SKU111,Decor,Clock,2023-02-06,2865,4816.66
SKU112,Decor,Clock,2023-10-29,2627,4281.95
SKU113,Decor,Clock,2024-11-30,480,933.11
SKU114,Decor,Clock,2023-09-10,1292,1676.95
SKU115,Decor,Clock,2023-06-10,1280,1853.68
SKU116,Decor,Clock,2023-01-18,3627,6640.54
SKU117,Decor,Clock,2024-07-19,2116,3624.92
SKU118,Decor,Clock,2024-11-16,869,2093.44
SKU119,Decor,Clock,2024-10-24,925,1849.55
SKU120,Decor,Clock,2024-05-04,3309,5064.14
SKU121,Decor,Frame,2023-04-14,1709,2767.41
SKU122,Decor,Frame,2023-06-25,3764,7954.2
SKU123,Decor,Frame,2024-06-21,3410,5393.49
SKU124,Decor,Frame,2024-02-12,2190,3357.42
SKU125,Decor,Frame,2023-02-05,824,1076.2
SKU126,Decor,Frame,2024-05-26,984,1429.32
SKU127,Decor,Frame,2024-04-15,699,884.93
SKU128,Decor,Frame,2024-12-27,1466,2474.99
SKU129,Decor,Frame,2024-10-26,2282,2845.03
SKU130,Decor,Frame,2023-05-30,874,2164.37
SKU131,Decor,Vase,2023-11-01,2661,6169.6
SKU132,Decor,Vase,2023-02-23,2015,2519.73
SKU133,Decor,Vase,2023-09-21,3350,4573.35
SKU134,Decor,Vase,2024-09-11,3424,5317.49
SKU135,Decor,Vase,2023-12-16,304,545.51
SKU136,Decor,Vase,2024-10-17,346,729.84
SKU137,Decor,Vase,2023-04-16,568,1397.51
SKU138,Decor,Vase,2023-04-30,1993,2498.0
SKU139,Decor,Vase,2023-02-27,1130,1992.84
SKU140,Decor,Vase,2024-04-18,2274,3470.39
SKU141,Decor,Mirror,2023-05-07,416,542.94
SKU142,Decor,Mirror,2024-10-02,3764,7885.77
SKU143,Decor,Mirror,2023-04-06,1381,3300.28
SKU144,Decor,Mirror,2024-05-02,1441,3067.85
SKU145,Decor,Mirror,2023-09-29,3608,5642.6
SKU146,Decor,Mirror,2024-03-22,1512,3264.81
SKU147,Decor,Mirror,2023-09-04,880,1755.81
SKU148,Decor,Mirror,2024-03-10,3447,6672.87
SKU149,Decor,Mirror,2023-10-12,1296,1757.65
SKU150,Decor,Mirror,2023-04-04,1543,1943.88
SKU151,Electronics,Speaker,2024-03-28,2073,5127.28
SKU152,Electronics,Speaker,2024-04-18,1527,1866.47
SKU153,Electronics,Speaker,2024-09-03,2779,6249.93
SKU154,Electronics,Speaker,2023-12-23,1612,2908.17
SKU155,Electronics,Speaker,2023-04-10,2370,2992.07
SKU156,Electronics,Speaker,2024-10-20,3149,4846.82
SKU157,Electronics,Speaker,2023-11-21,2789,5163.42
SKU158,Electronics,Speaker,2023-12-02,815,1630.49
SKU159,Electronics,Speaker,2023-06-09,2082,5054.11
SKU160,Electronics,Speaker,2024-11-20,3846,8619.79
SKU161,Electronics,Fan,2024-11-21,2727,3727.95
SKU162,Electronics,Fan,2024-07-30,3798,9205.99
SKU163,Electronics,Fan,2023-02-12,1740,3561.66
SKU164,Electronics,Fan,2023-01-12,3927,6111.0
SKU165,Electronics,Fan,2023-09-10,1930,3262.54
SKU166,Electronics,Fan,2024-12-27,2846,5702.62
SKU167,Electronics,Fan,2024-08-27,3196,6559.6
SKU168,Electronics,Fan,2024-02-22,3317,4080.75
SKU169,Electronics,Fan,2023-07-15,414,648.49
SKU170,Electronics,Fan,2024-05-07,1125,2368.98
SKU171,Electronics,Iron,2024-02-24,3446,8066.1
SKU172,Electronics,Iron,2024-11-06,1028,2307.37
SKU173,Electronics,Iron,2023-07-11,3765,6590.68
SKU174,Electronics,Iron,2024-07-01,3086,7676.91
SKU175,Electronics,Iron,2023-04-06,1277,1947.45
SKU176,Electronics,Iron,2023-02-06,1987,4624.25
SKU177,Electronics,Iron,2023-10-06,3740,7793.41
SKU178,Electronics,Iron,2023-09-30,2564,3870.89
SKU179,Electronics,Iron,2024-12-29,2409,4445.88
SKU180,Electronics,Iron,2023-01-19,1665,2642.23
SKU181,Electronics,Kettle,2024-03-20,2524,3204.3
SKU182,Electronics,Kettle,2023-09-22,3604,8293.84
SKU183,Electronics,Kettle,2024-01-19,2802,6847.64
SKU184,Electronics,Kettle,2024-01-02,3935,7655.42
SKU185,Electronics,Kettle,2023-04-09,443,789.86
SKU186,Electronics,Kettle,2024-04-13,695,1130.95
SKU187,Electronics,Kettle,2023-05-24,3855,9367.85
SKU188,Electronics,Kettle,2024-11-23,2916,3929.32
SKU189,Electronics,Kettle,2024-02-02,1365,3366.8
SKU190,Electronics,Kettle,2023-06-12,3594,4573.84
SKU191,Electronics,Vacuum,2024-10-19,1538,2937.1
SKU192,Electronics,Vacuum,2023-03-15,1050,1455.18
SKU193,Electronics,Vacuum,2023-09-10,1253,2510.62
