SKU_ID,Forecast,Current_Stock,Risk,Recommendation
SKU001,53.0,801,Overstock Risk,Reduce Inventory
SKU002,22.0,387,Overstock Risk,Reduce Inventory
SKU003,21.0,247,Overstock Risk,Reduce Inventory
SKU004,28.0,360,Overstock Risk,Reduce Inventory
SKU005,34.0,560,Overstock Risk,Reduce Inventory
SKU006,45.0,405,Overstock Risk,Reduce Inventory
SKU007,39.0,674,Overstock Risk,Reduce Inventory
SKU008,22.0,107,Overstock Risk,Reduce Inventory
SKU009,16.0,551,Overstock Risk,Reduce Inventory
SKU010,45.0,1490,Overstock Risk,Reduce Inventory
SKU011,44.0,1699,Overstock Risk,Reduce Inventory
SKU012,30.0,856,Overstock Risk,Reduce Inventory
SKU013,22.0,210,Overstock Risk,Reduce Inventory
SKU014,12.0,159,Overstock Risk,Reduce Inventory
SKU015,19.0,287,Overstock Risk,Reduce Inventory
SKU016,17.0,406,Overstock Risk,Reduce Inventory
SKU017,40.0,580,Overstock Risk,Reduce Inventory
SKU018,18.0,66,Overstock Risk,Reduce Inventory
SKU019,40.0,657,Overstock Risk,Reduce Inventory
SKU020,41.0,1178,Overstock Risk,Reduce Inventory
SKU021,39.0,180,Overstock Risk,Reduce Inventory
SKU022,14.0,88,Overstock Risk,Reduce Inventory
SKU023,29.0,326,Overstock Risk,Reduce Inventory
SKU024,41.0,731,Overstock Risk,Reduce Inventory
SKU025,35.0,369,Overstock Risk,Reduce Inventory
SKU026,27.0,333,Overstock Risk,Reduce Inventory
SKU027,14.0,312,Overstock Risk,Reduce Inventory
SKU028,23.0,1113,Overstock Risk,Reduce Inventory
SKU029,43.0,662,Overstock Risk,Reduce Inventory
SKU030,16.0,410,Overstock Risk,Reduce Inventory
SKU031,40.0,1110,Overstock Risk,Reduce Inventory
SKU032,29.0,157,Overstock Risk,Reduce Inventory
SKU033,8.0,214,Overstock Risk,Reduce Inventory
SKU034,34.0,427,Overstock Risk,Reduce Inventory
SKU035,20.0,196,Overstock Risk,Reduce Inventory
SKU036,16.0,260,Overstock Risk,Reduce Inventory
SKU037,13.0,476,Overstock Risk,Reduce Inventory
SKU038,35.0,532,Overstock Risk,Reduce Inventory
SKU039,31.0,386,Overstock Risk,Reduce Inventory
SKU040,3.0,78,Overstock Risk,Reduce Inventory
SKU041,23.0,269,Overstock Risk,Reduce Inventory
SKU042,15.0,336,Overstock Risk,Reduce Inventory
SKU043,19.0,156,Overstock Risk,Reduce Inventory
SKU044,18.0,103,Overstock Risk,Reduce Inventory
SKU045,29.0,900,Overstock Risk,Reduce Inventory
SKU046,40.0,789,Overstock Risk,Reduce Inventory
SKU047,28.0,921,Overstock Risk,Reduce Inventory
SKU048,10.0,162,Overstock Risk,Reduce Inventory
SKU049,29.0,432,Overstock Risk,Reduce Inventory
