SKU_ID,Forecast,Current_Stock,Days_of_Inventory,Risk_Score,Priority,Risk,Recommendation
SKU106,25,85,3.4,88.7,Critical,Stockout Risk,Emergency Purchase
SKU018,18,66,3.7,87.7,Critical,Stockout Risk,Emergency Purchase
SKU134,11,43,3.9,87.0,Critical,Stockout Risk,Emergency Purchase
SKU021,39,180,4.6,84.7,Critical,Stockout Risk,Emergency Purchase
SKU167,15,69,4.6,84.7,Critical,Stockout Risk,Emergency Purchase
SKU171,37,177,4.8,84.0,Critical,Stockout Risk,Emergency Purchase
SKU060,31,149,4.8,84.0,Critical,Stockout Risk,Emergency Purchase
SKU008,22,107,4.9,83.7,Critical,Stockout Risk,Emergency Purchase
SKU103,18,89,4.9,83.7,Critical,Stockout Risk,Emergency Purchase
SKU144,11,55,5.0,83.3,Critical,Stockout Risk,Emergency Purchase
SKU032,29,157,5.4,82.0,Critical,Stockout Risk,Emergency Purchase
SKU063,30,163,5.4,82.0,Critical,Stockout Risk,Emergency Purchase
SKU138,49,270,5.5,81.7,Critical,Stockout Risk,Emergency Purchase
SKU044,18,103,5.7,81.0,Critical,Stockout Risk,Emergency Purchase
SKU119,11,65,5.9,80.3,Critical,Stockout Risk,Emergency Purchase
SKU152,37,221,6.0,80.0,Critical,Stockout Risk,Emergency Purchase
SKU187,36,215,6.0,80.0,Critical,Stockout Risk,Emergency Purchase
SKU056,11,66,6.0,80.0,Critical,Stockout Risk,Emergency Purchase
SKU022,14,88,6.3,79.0,High,Stockout Risk,Increase Purchase Order
SKU105,23,144,6.3,79.0,High,Stockout Risk,Increase Purchase Order
SKU185,7,44,6.3,79.0,High,Stockout Risk,Increase Purchase Order
SKU094,23,145,6.3,79.0,High,Stockout Risk,Increase Purchase Order
SKU069,21,135,6.4,78.7,High,Stockout Risk,Increase Purchase Order
SKU098,49,318,6.5,78.3,High,Stockout Risk,Increase Purchase Order
SKU114,15,97,6.5,78.3,High,Stockout Risk,Increase Purchase Order
SKU179,28,196,7.0,76.7,High,Healthy,Maintain Current Stock
SKU166,16,114,7.1,76.3,High,Healthy,Maintain Current Stock
SKU051,21,156,7.4,75.3,High,Healthy,Maintain Current Stock
SKU087,23,170,7.4,75.3,High,Healthy,Maintain Current Stock
SKU180,22,168,7.6,74.7,High,Healthy,Maintain Current Stock
SKU104,16,127,7.9,73.7,High,Healthy,Maintain Current Stock
SKU165,10,79,7.9,73.7,High,Healthy,Maintain Current Stock
SKU135,10,80,8.0,73.3,High,Healthy,Maintain Current Stock
SKU043,19,156,8.2,72.7,High,Healthy,Maintain Current Stock
SKU092,40,332,8.3,72.3,High,Healthy,Maintain Current Stock
SKU170,8,68,8.5,71.7,High,Healthy,Maintain Current Stock
SKU078,7,61,8.7,71.0,High,Healthy,Maintain Current Stock
SKU006,45,405,9.0,70.0,High,Healthy,Maintain Current Stock
SKU162,16,146,9.1,69.7,High,Healthy,Maintain Current Stock
SKU140,27,249,9.2,69.3,High,Healthy,Maintain Current Stock
SKU158,24,220,9.2,69.3,High,Healthy,Maintain Current Stock
SKU013,22,210,9.5,68.3,High,Healthy,Maintain Current Stock
SKU155,36,342,9.5,68.3,High,Healthy,Maintain Current Stock
SKU122,25,244,9.8,67.3,High,Healthy,Maintain Current Stock
SKU057,11,108,9.8,67.3,High,Healthy,Maintain Current Stock
SKU035,20,196,9.8,67.3,High,Healthy,Maintain Current Stock
SKU067,41,404,9.9,67.0,High,Healthy,Maintain Current Stock
SKU088,33,328,9.9,67.0,High,Healthy,Maintain Current Stock
SKU173,23,233,10.1,66.3,High,Healthy,Maintain Current Stock
SKU136,14,144,10.3,65.7,High,Healthy,Maintain Current Stock
SKU121,15,156,10.4,65.3,High,Healthy,Maintain Current Stock
SKU025,35,369,10.5,65.0,High,Healthy,Maintain Current Stock
SKU073,22,235,10.7,64.3,High,Healthy,Maintain Current Stock
SKU195,14,152,10.9,63.7,High,Healthy,Maintain Current Stock
SKU157,18,196,10.9,63.7,High,Healthy,Maintain Current Stock
SKU023,29,326,11.2,62.7,High,Healthy,Maintain Current Stock
